City 1,City 2,State,Distance
Birmingham,Tuscaloosa,Alabama,46.77593888046144
Birmingham,Hoover,Alabama,10.462963476497077
Birmingham,Anniston,Alabama,57.58042475118073
Birmingham,Vestavia Hills,Alabama,6.084038569774147
Birmingham,Gadsden,Alabama,55.862375949655146
Birmingham,Alabaster,Alabama,21.284055786916056
Birmingham,Northport,Alabama,49.950987938078164
Birmingham,Homewood,Alabama,4.600218385187121
Birmingham,Bessemer,Alabama,14.82106297517405
Birmingham,Trussville,Alabama,14.659128137760256
Birmingham,Pelham,Alabama,15.096889183108535
Birmingham,Mountain Brook,Alabama,4.3329473744080795
Birmingham,Oxford,Alabama,53.77608492464556
Birmingham,Helena,Alabama,17.484308817409342
Birmingham,Cullman,Alabama,44.84208637727637
Birmingham,Hueytown,Alabama,14.83548512187846
Birmingham,Calera,Alabama,27.902784198655368
Birmingham,Center Point,Alabama,10.317995226139889
Birmingham,Gardendale,Alabama,9.651506534855924
Birmingham,Chelsea,Alabama,16.92552377566636
Birmingham,Talladega,Alabama,40.86332431536519
Birmingham,McCalla,Alabama,20.572607910829092
Birmingham,Jasper,Alabama,35.22365823106126
Birmingham,Irondale,Alabama,7.9549691447972
Birmingham,Moody,Alabama,18.026383675809146
Birmingham,Pell City,Alabama,30.682655780724144
Birmingham,Sylacauga,Alabama,39.302172598148424
Birmingham,Leeds,Alabama,13.502709010791728
Birmingham,Saks,Alabama,55.85858702731914
Birmingham,Clay,Alabama,15.825342552393158
Birmingham,Boaz,Alabama,59.22942924358025
Birmingham,Rainbow City,Alabama,49.29029475820942
Birmingham,Fairfield,Alabama,7.956543693864945
Birmingham,Fultondale,Alabama,6.173254235798053
Birmingham,Pleasant Grove,Alabama,10.713144534342385
Birmingham,Southside,Alabama,51.41895897898732
Birmingham,Meadowbrook,Alabama,10.707736378233996
Birmingham,Forestdale,Alabama,6.724744736290169
Birmingham,Clanton,Alabama,48.167932306436526
Birmingham,Arab,Alabama,57.93287648898607
Birmingham,Brook Highland,Alabama,9.065769791214057
Birmingham,Montevallo,Alabama,27.947746251155383
Birmingham,Pinson,Alabama,14.332056317704927
Birmingham,Lincoln,Alabama,38.38312633707076
Birmingham,Oneonta,Alabama,33.32540123744685
Birmingham,Tarrant,Alabama,4.877632138882021
Birmingham,Attalla,Alabama,51.70477906997548
Birmingham,Grayson Valley,Alabama,12.140208819804545
