City 1,City 2,State,Distance
Dover,Wilmington,Delaware,40.06341135261306
Dover,Newark,Delaware,37.83472366309808
Dover,Middletown,Delaware,22.28389882456417
Dover,Bear,Delaware,32.73782865372805
Dover,Glasgow,Delaware,32.73043664915792
Dover,Brookside,Delaware,36.40050260899234
Dover,Hockessin,Delaware,43.815600212850256
Dover,Smyrna,Delaware,10.29038257783716
Dover,Milford,Delaware,18.151111657954136
Dover,Pike Creek Valley,Delaware,40.36040150280223
Dover,Claymont,Delaware,44.41784206537224
Dover,North Star,Delaware,42.53068685554737
Dover,Wilmington Manor,Delaware,36.369422101030274
Dover,Seaford,Delaware,35.32762847497517
Dover,Georgetown,Delaware,33.31142548528863
Dover,Pike Creek,Delaware,41.61429532772976
Dover,Millsboro,Delaware,41.05556030583714
Dover,Edgemoor,Delaware,40.963912133012094
Dover,Elsmere,Delaware,40.0314509263329
Dover,New Castle,Delaware,35.08331424129648
Dover,Rising Sun-Lebanon,Delaware,4.289600798741931
Dover,Clayton,Delaware,10.586019249766364
Dover,Laurel,Delaware,40.91377539037898
Dover,Camden,Delaware,4.71413736796036
Dover,Highland Acres,Delaware,3.0844780513529377
Dover,Harrington,Delaware,16.552567718510883
Dover,Milton,Delaware,28.92880446357493
Dover,Lewes,Delaware,33.2820290606921
Dover,Dover Base Housing,Delaware,3.5673193608297846
Dover,Long Neck,Delaware,42.21573747840063
Dover,Selbyville,Delaware,50.9516217064078
Dover,Greenville,Delaware,42.80377928233597
Dover,Townsend,Delaware,18.754628069107625
Dover,Ocean View,Delaware,48.77841566859037
Dover,Bridgeville,Delaware,30.397122475918824
Dover,Delmar,Delaware,48.04027021393479
Dover,Riverview,Delaware,9.08505458126412
Dover,Kent Acres,Delaware,1.985787144129324
Dover,Millville,Delaware,48.03873014100352
Dover,Woodside East,Delaware,6.5105300109060105
Dover,Delaware City,Delaware,28.76257929364392
Dover,Wyoming,Delaware,3.935493608774584
Dover,Cheswold,Delaware,5.411022327520521
Dover,Greenwood,Delaware,24.693329896382995
Dover,Bellefonte,Delaware,41.80908038771827
Dover,Lincoln,Delaware,20.87899875286345
Dover,Rehoboth Beach,Delaware,38.57665572201371
Dover,Dagsboro,Delaware,44.91736799099157
