City 1,City 2,State,Distance
Atlanta,Gainesville,Georgia,49.77828066247296
Atlanta,South Fulton,Georgia,13.04085689081883
Atlanta,Sandy Springs,Georgia,12.342132261377408
Atlanta,Roswell,Georgia,19.47204607044362
Atlanta,Johns Creek,Georgia,22.504323986207492
Atlanta,Alpharetta,Georgia,22.84707032532791
Atlanta,Marietta,Georgia,14.837757218314517
Atlanta,Stonecrest,Georgia,17.27322916910061
Atlanta,Brookhaven,Georgia,9.2854979172544
Atlanta,Smyrna,Georgia,8.816097756098193
Atlanta,Dunwoody,Georgia,13.858940524664693
Atlanta,Newnan,Georgia,33.547277595014286
Atlanta,Peachtree Corners,Georgia,17.816146366583524
Atlanta,Mableton,Georgia,8.961563765077896
Atlanta,Milton,Georgia,26.41413636746523
Atlanta,Peachtree City,Georgia,26.818372694914064
Atlanta,East Point,Georgia,6.995361801148245
Atlanta,Rome,Georgia,55.929858769189124
Atlanta,Tucker,Georgia,13.807978952206208
Atlanta,Douglasville,Georgia,16.402466897350177
Atlanta,Woodstock,Georgia,23.948711490553475
Atlanta,Canton,Georgia,33.57797145960883
Atlanta,Kennesaw,Georgia,21.344692728182576
Atlanta,Duluth,Georgia,22.918433180648
Atlanta,Redan,Georgia,14.918009197931724
Atlanta,Lawrenceville,Georgia,27.901957485907364
Atlanta,Chamblee,Georgia,10.89477264657138
Atlanta,McDonough,Georgia,27.221857387752745
Atlanta,Stockbridge,Georgia,19.769456004856394
Atlanta,Union City,Georgia,14.17524947899316
Atlanta,Carrollton,Georgia,40.12437923407272
Atlanta,Sugar Hill,Georgia,31.75933022088663
Atlanta,Decatur,Georgia,7.258062930526142
Atlanta,Griffin,Georgia,36.898621444247226
Atlanta,Cartersville,Georgia,35.20885943279663
Atlanta,Candler-McAfee,Georgia,8.97110405119814
Atlanta,Acworth,Georgia,24.814906090101065
Atlanta,Suwanee,Georgia,28.398477728099635
Atlanta,Snellville,Georgia,24.906570526089112
Atlanta,Forest Park,Georgia,10.43160821077121
Atlanta,Fayetteville,Georgia,21.73561488088649
Atlanta,Winder,Georgia,43.233979577362575
Atlanta,Norcross,Georgia,17.29788979775182
Atlanta,Conyers,Georgia,25.419357096908307
Atlanta,Villa Rica,Georgia,28.632818225479173
Atlanta,North Druid Hills,Georgia,6.755659044957944
Atlanta,Buford,Georgia,34.90539164466738
Atlanta,Calhoun,Georgia,58.27510919073464
Atlanta,North Decatur,Georgia,8.253591769833251
Atlanta,Powder Springs,Georgia,16.66380908451156
Atlanta,Holly Springs,Georgia,28.16584013673724
Atlanta,Fairburn,Georgia,17.64175662245543
Atlanta,Lithia Springs,Georgia,13.1092548347238
Atlanta,Monroe,Georgia,40.702562031421046
Atlanta,Riverdale,Georgia,13.724802187254241
Atlanta,Lilburn,Georgia,18.61136309378412
Atlanta,Belvedere Park,Georgia,9.380971957983114
Atlanta,Clarkston,Georgia,10.986186667621384
Atlanta,Loganville,Georgia,30.68709821444479
Atlanta,Covington,Georgia,34.90963359922468
Atlanta,Dallas,Georgia,26.31936082185404
Atlanta,College Park,Georgia,9.047947440816547
Atlanta,Braselton,Georgia,42.35082715537022
Atlanta,Jefferson,Georgia,53.70356586140632
Atlanta,Mountain Park,Georgia,17.67162691596019
Atlanta,Vinings,Georgia,7.266962249280642
Atlanta,Doraville,Georgia,13.21038612160932
Atlanta,Scottdale,Georgia,9.393901899764296
Atlanta,Lovejoy,Georgia,22.873112480189853
Atlanta,Cedartown,Georgia,50.72796721971496
Atlanta,Flowery Branch,Georgia,40.53053286122523
Atlanta,Fair Oaks,Georgia,12.883311806332355
Atlanta,Locust Grove,Georgia,34.07170320470952
Atlanta,Panthersville,Georgia,9.26116722863187
Atlanta,Druid Hills,Georgia,5.652246051886208
Atlanta,Irondale,Georgia,19.99766098552136
Atlanta,Hampton,Georgia,27.524542245834517
Atlanta,Austell,Georgia,13.432003020848661
Atlanta,Gresham Park,Georgia,7.301668192713551
Atlanta,Auburn,Georgia,38.132118265460946
Atlanta,Tyrone,Georgia,22.166557955262004
Atlanta,Cumming,Georgia,34.756304053241145
Atlanta,Bremen,Georgia,42.057980679144556
Atlanta,Dahlonega,Georgia,58.6914181012063
