City 1,City 2,State,Distance
New Orleans,Houma,Louisiana,57.54387542681157
New Orleans,Metairie,Louisiana,15.715810806159524
New Orleans,Mandeville,Louisiana,23.21420521464508
New Orleans,Slidell,Louisiana,17.49261947280048
New Orleans,Hammond,Louisiana,43.614037485267886
New Orleans,Kenner,Louisiana,19.944531971591186
New Orleans,Marrero,Louisiana,16.671822845868153
New Orleans,Laplace,Louisiana,32.77275905269783
New Orleans,Terrytown,Louisiana,12.965581497340287
New Orleans,Chalmette,Louisiana,8.88753673074995
New Orleans,Harvey,Louisiana,14.962971438003994
New Orleans,Bayou Cane,Louisiana,58.08865108311903
New Orleans,Gretna,Louisiana,13.17081022974257
New Orleans,Estelle,Louisiana,18.60385739388844
New Orleans,Thibodaux,Louisiana,56.390277729998694
New Orleans,Luling,Louisiana,27.90374508335845
New Orleans,River Ridge,Louisiana,19.024142705411474
New Orleans,Destrehan,Louisiana,27.299969110627853
New Orleans,Woodmere,Louisiana,17.475096941891586
New Orleans,Bayou Blue,Louisiana,53.798982202182614
New Orleans,Covington,Louisiana,30.4438489119241
New Orleans,Raceland,Louisiana,48.50182205690644
New Orleans,Timberlane,Louisiana,14.471009132438795
New Orleans,Belle Chasse,Louisiana,15.351331305873451
New Orleans,Waggaman,Louisiana,20.48877346956271
New Orleans,Bogalusa,Louisiana,49.23605923195919
New Orleans,Jefferson,Louisiana,15.480545535948965
New Orleans,Harahan,Louisiana,18.76768660209304
New Orleans,Eden Isle,Louisiana,13.196485914692966
New Orleans,Westwego,Louisiana,17.072795695485894
New Orleans,Reserve,Louisiana,37.55989420531783
New Orleans,Ponchatoula,Louisiana,39.99535798597516
New Orleans,St. Rose,Louisiana,23.87433541695103
New Orleans,Meraux,Louisiana,9.686004902629048
New Orleans,Lacombe,Louisiana,16.904283785858922
New Orleans,Bridge City,Louisiana,16.723311696022343
New Orleans,Galliano,Louisiana,48.55324421601686
New Orleans,Elmwood,Louisiana,17.382538184665215
New Orleans,Larose,Louisiana,43.7399017703754
New Orleans,Gray,Louisiana,57.91516229043052
New Orleans,Chackbay,Louisiana,52.36834782776885
New Orleans,Cut Off,Louisiana,45.005713531999646
New Orleans,Schriever,Louisiana,58.86631571799042
New Orleans,Avondale,Louisiana,19.37206490527941
New Orleans,Violet,Louisiana,12.085031693919527
New Orleans,Arabi,Louisiana,8.806593096618501
New Orleans,Amite City,Louisiana,57.512238290842916
New Orleans,Hahnville,Louisiana,29.969706027737708
New Orleans,Franklinton,Louisiana,55.22354767007001
New Orleans,Lutcher,Louisiana,46.94912612387666
New Orleans,South Vacherie,Louisiana,46.43860533247073
New Orleans,Natalbany,Louisiana,46.87268376686546
New Orleans,Gramercy,Louisiana,45.78386700543872
New Orleans,New Orleans Station,Louisiana,17.257435452772867
New Orleans,Norco,Louisiana,28.863181576202148
New Orleans,Lockport,Louisiana,46.56019572087524
New Orleans,Abita Springs,Louisiana,28.69917489897457
New Orleans,Pearl River,Louisiana,23.28880241067032
New Orleans,Grand Point,Louisiana,49.16081983846977
New Orleans,Jean Lafitte,Louisiana,24.360379666102116
New Orleans,Poydras,Louisiana,14.408610443053718
New Orleans,Chauvin,Louisiana,58.6537424544503
New Orleans,Lafourche Crossing,Louisiana,54.555054695563236
New Orleans,Des Allemands,Louisiana,37.07421927220177
New Orleans,Boutte,Louisiana,30.677024978281068
New Orleans,Independence,Louisiana,52.10563212964557
New Orleans,Presquille,Louisiana,55.24149691722692
New Orleans,Garyville,Louisiana,41.92065999463297
New Orleans,Montz,Louisiana,32.236358670042534
New Orleans,Golden Meadow,Louisiana,51.29508661583918
New Orleans,Paulina,Louisiana,47.62271387893962
New Orleans,Bourg,Louisiana,53.83996403220692
New Orleans,Livingston,Louisiana,57.047351149132275
New Orleans,Sorrento,Louisiana,56.74825763596957
New Orleans,North Vacherie,Louisiana,47.078684610006505
New Orleans,Port Sulphur,Louisiana,40.818188544950885
New Orleans,Wallace,Louisiana,43.71070429158646
New Orleans,Bayou Gauche,Louisiana,34.555358236938616
New Orleans,Lockport Heights,Louisiana,46.80916259338917
New Orleans,Mathews,Louisiana,46.110054416232416
New Orleans,Ama,Louisiana,23.669104015160254
New Orleans,Montegut,Louisiana,56.32125415856559
New Orleans,Killian,Louisiana,43.57728981544747
New Orleans,Bayou Country Club,Louisiana,55.330708119131366
New Orleans,Roseland,Louisiana,59.22607574682159
New Orleans,Edgard,Louisiana,37.051652357906484
New Orleans,Albany,Louisiana,49.127824514402725
New Orleans,New Sarpy,Louisiana,27.89956841079358
New Orleans,Kraemer,Louisiana,44.64019296813378
New Orleans,Empire,Louisiana,49.15474438098577
New Orleans,Madisonville,Louisiana,26.867001387935325
New Orleans,French Settlement,Louisiana,55.01106585813329
New Orleans,Buras,Louisiana,54.97052908539199
New Orleans,Grand Isle,Louisiana,59.22226178198226
New Orleans,Tickfaw,Louisiana,48.358782914607765
New Orleans,Welcome,Louisiana,57.15131247528974
New Orleans,Barataria,Louisiana,27.335156800937646
New Orleans,Hester,Louisiana,50.54750570753675
New Orleans,Folsom,Louisiana,41.85089890237045
New Orleans,Lemannville,Louisiana,59.654733239493666
New Orleans,Paradis,Louisiana,33.614323873331884
New Orleans,Choctaw,Louisiana,50.096491688775025
New Orleans,St. James,Louisiana,55.39106385425893
New Orleans,Boothville,Louisiana,59.65479498190837
New Orleans,Port Vincent,Louisiana,57.734322494371426
New Orleans,Lafitte,Louisiana,27.659733823213077
New Orleans,Convent,Louisiana,53.73665954495651
New Orleans,Sun,Louisiana,39.9878744688529
New Orleans,Union,Louisiana,57.2676358187741
New Orleans,Springfield,Louisiana,44.26559067099933
New Orleans,Lewisburg,Louisiana,23.031740346710684
New Orleans,Pointe a la Hache,Louisiana,35.22643369379814
New Orleans,Varnado,Louisiana,57.213597503038066
New Orleans,Pleasure Bend,Louisiana,44.19614444364056
New Orleans,Rio,Louisiana,42.95822846932115
New Orleans,Killona,Louisiana,33.68983417735759
New Orleans,Triumph,Louisiana,57.06300691495387
New Orleans,Moonshine,Louisiana,53.4459548550882
New Orleans,Delacroix,Louisiana,22.561129331179945
New Orleans,Taft,Louisiana,31.956526738559045
New Orleans,Romeville,Louisiana,54.238958179412045
Baton Rouge,Lafayette,Louisiana,56.22120416124835
Baton Rouge,Hammond,Louisiana,40.50448877246926
Baton Rouge,Prairieville,Louisiana,13.5797377921272
Baton Rouge,Central,Louisiana,9.842020431503506
Baton Rouge,Laplace,Louisiana,46.703724643111535
Baton Rouge,New Iberia,Louisiana,51.04612274897269
Baton Rouge,Zachary,Louisiana,15.434035959420873
Baton Rouge,Shenandoah,Louisiana,8.187143537445193
Baton Rouge,Youngsville,Louisiana,56.97602771591465
Baton Rouge,Opelousas,Louisiana,56.996463962237875
Baton Rouge,Thibodaux,Louisiana,48.43539588518479
Baton Rouge,Luling,Louisiana,59.685252019183665
Baton Rouge,Broussard,Louisiana,53.41991247581144
Baton Rouge,Baker,Louisiana,9.860072915478288
Baton Rouge,Gonzales,Louisiana,20.060856723819956
Baton Rouge,Destrehan,Louisiana,56.36710445654656
Baton Rouge,Gardere,Louisiana,5.776321608553501
Baton Rouge,Morgan City,Louisiana,50.95827710865405
Baton Rouge,Raceland,Louisiana,57.41338205348458
Baton Rouge,Carencro,Louisiana,54.940754969718256
Baton Rouge,Denham Springs,Louisiana,10.491077893834657
Baton Rouge,Village St. George,Louisiana,6.827911719027025
Baton Rouge,Oak Hills Place,Louisiana,5.629912761737708
Baton Rouge,Merrydale,Louisiana,4.211461519054607
Baton Rouge,Scott,Louisiana,59.23943645087184
Baton Rouge,Old Jefferson,Louisiana,8.687279937139344
Baton Rouge,Reserve,Louisiana,42.73301734871481
Baton Rouge,Ponchatoula,Louisiana,41.08260145522834
Baton Rouge,Breaux Bridge,Louisiana,47.469238224736486
Baton Rouge,St. Rose,Louisiana,59.16546961286509
Baton Rouge,Donaldsonville,Louisiana,25.272313696105932
Baton Rouge,Addis,Louisiana,9.626835978411359
Baton Rouge,Franklin,Louisiana,50.61348379045485
Baton Rouge,St. Gabriel,Louisiana,13.099327741020984
Baton Rouge,Walker,Louisiana,16.130745765329664
Baton Rouge,Inniswold,Louisiana,4.687924645860043
Baton Rouge,Plaquemine,Louisiana,12.813555659696707
