City 1,City 2,State,Distance
St. Louis,O'Fallon,Missouri,27.524847107562042
St. Louis,St. Charles,Missouri,18.30024047047483
St. Louis,St. Peters,Missouri,21.9756896481423
St. Louis,Florissant,Missouri,12.126211834966155
St. Louis,Chesterfield,Missouri,18.201331671107557
St. Louis,Wentzville,Missouri,35.804948907626176
St. Louis,Oakville,Missouri,13.585919138739268
St. Louis,Wildwood,Missouri,23.30714336048448
St. Louis,University City,Missouri,5.105511923339027
St. Louis,Ballwin,Missouri,16.739794718365975
St. Louis,Kirkwood,Missouri,10.267848791366763
St. Louis,Mehlville,Missouri,9.992271350216036
St. Louis,Maryland Heights,Missouri,13.680983374649292
St. Louis,Hazelwood,Missouri,13.372220143465562
St. Louis,Webster Groves,Missouri,6.8231562823144785
St. Louis,Arnold,Missouri,15.828299608759629
St. Louis,Old Jamestown,Missouri,14.199265245343366
St. Louis,Affton,Missouri,7.386384401899996
St. Louis,Creve Coeur,Missouri,10.855159204702424
St. Louis,Concord,Missouri,10.505672797014
St. Louis,Ferguson,Missouri,8.254646375924668
St. Louis,Manchester,Missouri,14.60517697534587
St. Louis,Spanish Lake,Missouri,10.711640775440205
St. Louis,Farmington,Missouri,59.71895345622342
St. Louis,Clayton,Missouri,4.646352727627871
St. Louis,Lake St. Louis,Missouri,31.11327222064329
St. Louis,Lemay,Missouri,7.444377034266803
St. Louis,Overland,Missouri,7.896424930023441
St. Louis,Washington,Missouri,42.10342970832651
St. Louis,Jennings,Missouri,6.104735204947845
St. Louis,Troy,Missouri,45.5026744613915
St. Louis,St. Ann,Missouri,9.908098824279358
St. Louis,Dardenne Prairie,Missouri,27.59828178527526
St. Louis,Festus,Missouri,30.08427997572409
St. Louis,Union,Missouri,42.69824647879586
St. Louis,Crestwood,Missouri,9.037834899300618
St. Louis,Eureka,Missouri,23.790505378369215
St. Louis,Town and Country,Missouri,12.658122636975635
St. Louis,Bridgeton,Missouri,13.392338712943234
St. Louis,Bellefontaine Neighbors,Missouri,8.12321708410583
St. Louis,Ellisville,Missouri,18.850458446475184
St. Louis,Richmond Heights,Missouri,4.779006331949764
St. Louis,Des Peres,Missouri,11.298419904138132
St. Louis,Sunset Hills,Missouri,11.437246742749524
St. Louis,Ladue,Missouri,7.38045459007115
St. Louis,Park Hills,Missouri,57.950514169917014
St. Louis,Warrenton,Missouri,49.89262349381674
St. Louis,Olivette,Missouri,7.647112979320528
St. Louis,Murphy,Missouri,16.367153907006863
St. Louis,Berkeley,Missouri,8.927450885096409
St. Louis,Maplewood,Missouri,4.574098974471916
St. Louis,Brentwood,Missouri,5.65635762448087
St. Louis,Pacific,Missouri,29.5630016706163
St. Louis,Sappington,Missouri,10.26738823664714
St. Louis,Bonne Terre,Missouri,51.898956798091895
St. Louis,Valley Park,Missouri,14.598846701656115
St. Louis,Black Jack,Missouri,11.31726557092024
St. Louis,St. John,Missouri,7.7138942085762245
