City 1,City 2,State,Distance
Albuquerque,Rio Rancho,New Mexico,12.876491782972339
Albuquerque,Santa Fe,New Mexico,53.66305843586819
Albuquerque,South Valley,New Mexico,6.921975647784046
Albuquerque,Los Lunas,New Mexico,21.636215387799716
Albuquerque,Los Alamos,New Mexico,57.953501299671764
Albuquerque,North Valley,New Mexico,4.884658410619146
Albuquerque,Bernalillo,New Mexico,15.224798560767319
Albuquerque,Corrales,New Mexico,9.176585017542852
Albuquerque,Belen,New Mexico,28.49382677837339
Albuquerque,Edgewood,New Mexico,24.5029636273152
Albuquerque,Los Ranchos de Albuquerque,New Mexico,3.937468559782033
Albuquerque,White Rock,New Mexico,54.389972473659604
Albuquerque,Eldorado at Santa Fe,New Mexico,49.666520901006216
Albuquerque,El Cerro Mission,New Mexico,23.203598678583244
Albuquerque,Rio Communities,New Mexico,31.92305062180839
Albuquerque,Los Chaves,New Mexico,26.45624599885721
Albuquerque,Meadow Lake,New Mexico,21.33256442410399
Albuquerque,Paradise Hills,New Mexico,7.128771268233399
Albuquerque,Placitas,New Mexico,18.86375127977256
Albuquerque,Bosque Farms,New Mexico,17.611761131940902
Albuquerque,La Cienega,New Mexico,44.45148820564659
Albuquerque,Kirtland AFB,New Mexico,6.231260830257224
Albuquerque,Peralta,New Mexico,19.23226346661107
Albuquerque,El Cerro,New Mexico,22.55522356873093
Albuquerque,Sandia Heights,New Mexico,10.147620696492025
Albuquerque,Agua Fria,New Mexico,52.3571888779863
Albuquerque,Moriarty,New Mexico,34.84751001277073
Albuquerque,Jemez Pueblo,New Mexico,34.89841497065291
Albuquerque,Santo Domingo Pueblo,New Mexico,32.504742835576394
Albuquerque,Valencia,New Mexico,20.813377878050332
Albuquerque,Tres Arroyos,New Mexico,52.36031310850843
Albuquerque,Las Maravillas,New Mexico,25.6340769186301
Albuquerque,Jarales,New Mexico,34.46846716840274
Albuquerque,Estancia,New Mexico,42.06596659101505
Albuquerque,Barton,New Mexico,22.249017248914893
Albuquerque,Las Campanas,New Mexico,53.60784068936593
Albuquerque,Tano Road,New Mexico,57.488202426259086
Albuquerque,Rio Rancho Estates,New Mexico,15.958736941561718
Albuquerque,Thunder Mountain,New Mexico,23.72243914312061
Albuquerque,San Felipe Pueblo,New Mexico,25.872075209168372
Albuquerque,Sandia Knolls,New Mexico,20.058196049454725
Albuquerque,Paraje,New Mexico,46.75116306912168
Albuquerque,Mesita,New Mexico,38.39579734663293
Albuquerque,Ponderosa Pine,New Mexico,19.816385034995488
Albuquerque,Indian Hills,New Mexico,29.936107093192962
Albuquerque,Skyline-Ganipa,New Mexico,55.164739909515745
Albuquerque,Mountainair,New Mexico,46.4534211495778
Albuquerque,Algodones,New Mexico,21.34423529199155
Albuquerque,Tome,New Mexico,25.648782208890687
Albuquerque,Santa Ana Pueblo,New Mexico,18.28152127511082
Albuquerque,Cañoncito,New Mexico,54.531886906632984
Albuquerque,Cedar Crest,New Mexico,15.09127497466941
Albuquerque,Zia Pueblo,New Mexico,28.842191927614167
Albuquerque,Cedar Grove,New Mexico,27.29659990039874
Albuquerque,Valle Vista,New Mexico,46.82463546933466
Albuquerque,Adelino,New Mexico,27.928051423839992
Albuquerque,Sunlit Hills,New Mexico,53.118480462051096
Albuquerque,San Antonito,New Mexico,17.30853940549266
Albuquerque,Santa Fe Foothills,New Mexico,55.533843758379355
Albuquerque,Isleta,New Mexico,14.188240395677598
Albuquerque,Acomita Lake,New Mexico,55.03229180862397
Albuquerque,Peña Blanca,New Mexico,36.6833470325191
Albuquerque,Sedillo,New Mexico,20.39906186034674
Albuquerque,Laguna,New Mexico,43.06390375295519
Albuquerque,Cañada de los Alamos,New Mexico,55.70847120924265
Albuquerque,Carnuel,New Mexico,11.075269293810177
Albuquerque,Paa-Ko,New Mexico,18.867982899079994
Albuquerque,Monterey Park,New Mexico,24.426267551062306
Albuquerque,Cedro,New Mexico,17.810652769243912
Albuquerque,McCartys Village,New Mexico,57.70340577922745
Albuquerque,Glorieta,New Mexico,59.829660235464836
Albuquerque,Conejo,New Mexico,53.691326946387335
Albuquerque,Tijeras,New Mexico,15.364775538903242
Albuquerque,Seboyeta,New Mexico,42.38056432758618
Albuquerque,Pueblo of Sandia Village,New Mexico,11.082958511614844
