City 1,City 2,State,Distance
Oklahoma City,Norman,Oklahoma,18.678683382513274
Oklahoma City,Edmond,Oklahoma,14.927253381892633
Oklahoma City,Moore,Oklahoma,9.771448664623728
Oklahoma City,Midwest City,Oklahoma,8.049012473446226
Oklahoma City,Stillwater,Oklahoma,52.013641514219636
Oklahoma City,Shawnee,Oklahoma,31.969268146912757
Oklahoma City,Yukon,Oklahoma,14.568890315344683
Oklahoma City,Del City,Oklahoma,4.316541523366242
Oklahoma City,Bethany,Oklahoma,7.724539342941453
Oklahoma City,Mustang,Oklahoma,13.00493769768987
Oklahoma City,El Reno,Oklahoma,26.026089568868322
Oklahoma City,Chickasha,Oklahoma,38.30184281887444
Oklahoma City,Choctaw,Oklahoma,13.956585520358116
Oklahoma City,Newcastle,Oklahoma,16.416921256982317
Oklahoma City,Guthrie,Oklahoma,26.200461221926414
Oklahoma City,Warr Acres,Oklahoma,7.239037647741968
Oklahoma City,The Village,Oklahoma,7.504977806289473
Oklahoma City,Blanchard,Oklahoma,23.2551024486075
Oklahoma City,Cushing,Oklahoma,55.097432144750925
Oklahoma City,Piedmont,Oklahoma,19.794594222225225
Oklahoma City,Tuttle,Oklahoma,17.628941305994974
Oklahoma City,Noble,Oklahoma,24.130983137049924
Oklahoma City,Seminole,Oklahoma,51.386309461028425
Oklahoma City,Purcell,Oklahoma,31.619808937556073
Oklahoma City,Tecumseh,Oklahoma,35.631061137918884
Oklahoma City,Harrah,Oklahoma,18.41743629844078
Oklahoma City,Pauls Valley,Oklahoma,53.81181861861715
Oklahoma City,Anadarko,Oklahoma,49.77033043365605
Oklahoma City,Kingfisher,Oklahoma,35.30855818195349
Oklahoma City,Hinton,Oklahoma,47.61268132477738
Oklahoma City,Perry,Oklahoma,57.421057679578745
Oklahoma City,McLoud,Oklahoma,23.748654824870254
Oklahoma City,Slaughterville,Oklahoma,28.922951517363273
Oklahoma City,Spencer,Oklahoma,8.54781465250163
Oklahoma City,Nichols Hills,Oklahoma,5.731247662385747
Oklahoma City,Perkins,Oklahoma,44.49218173184834
Oklahoma City,Bethel Acres,Oklahoma,29.15382258847472
Oklahoma City,Jones,Oklahoma,14.314508055441546
Oklahoma City,Chandler,Oklahoma,39.13781683828355
Oklahoma City,Lindsay,Oklahoma,43.65920147092867
Oklahoma City,Stroud,Oklahoma,53.0298441708498
Oklahoma City,Goldsby,Oklahoma,23.304102994285838
Oklahoma City,Hennessey,Oklahoma,49.0232416338254
Oklahoma City,Watonga,Oklahoma,57.85307000819102
Oklahoma City,Nicoma Park,Oklahoma,10.737818661444534
Oklahoma City,Pink,Oklahoma,28.424552770992815
Oklahoma City,Lexington,Oklahoma,32.60895600844971
Oklahoma City,Prague,Oklahoma,45.92279782617056
Oklahoma City,Langston,Oklahoma,34.51606760838126
Oklahoma City,Crescent,Oklahoma,33.693183571115675
Oklahoma City,Minco,Oklahoma,26.80897025932983
Oklahoma City,Maysville,Oklahoma,42.8562427620842
Oklahoma City,Okarche,Oklahoma,31.49946585443696
Oklahoma City,Luther,Oklahoma,22.85821543806755
Oklahoma City,Stratford,Oklahoma,55.95054303728932
Oklahoma City,Union City,Oklahoma,22.53236371098923
Oklahoma City,Cashion,Oklahoma,24.752648406674805
Oklahoma City,Meeker,Oklahoma,34.900843299183165
Oklahoma City,Rush Springs,Oklahoma,53.720878549749315
Oklahoma City,Konawa,Oklahoma,55.52011631583621
Oklahoma City,Boley,Oklahoma,58.335156033273954
Oklahoma City,Dibble,Oklahoma,31.85035433042547
Oklahoma City,Ninnekah,Oklahoma,42.42757714627827
Oklahoma City,Forest Park,Oklahoma,4.746369254901503
Oklahoma City,Maud,Oklahoma,47.52997897992284
Oklahoma City,Geary,Oklahoma,44.65183750853563
Oklahoma City,Cole,Oklahoma,25.57106314556017
Oklahoma City,Wayne,Oklahoma,39.56028066417244
Oklahoma City,Valley Brook,Oklahoma,4.829013159243599
Oklahoma City,Wellston,Oklahoma,29.582117167939767
Oklahoma City,Johnson,Oklahoma,37.99160408550677
Oklahoma City,Elmore City,Oklahoma,58.275237529616945
Oklahoma City,Cyril,Oklahoma,55.33124582662594
Oklahoma City,Davenport,Oklahoma,45.35949849386331
Oklahoma City,Paoli,Oklahoma,46.422623348046784
Oklahoma City,Washington,Oklahoma,28.249013270129737
Oklahoma City,Alex,Oklahoma,40.39219825614685
Oklahoma City,Coyle,Oklahoma,37.07929281795963
Oklahoma City,Agra,Oklahoma,46.66502571834159
Oklahoma City,Cement,Oklahoma,50.819077258732236
Oklahoma City,Tryon,Oklahoma,41.93971644931855
Oklahoma City,Carney,Oklahoma,36.48024181747199
Oklahoma City,Verden,Oklahoma,41.83426930900436
Oklahoma City,Cedar Valley,Oklahoma,27.711828100180792
Oklahoma City,Asher,Oklahoma,46.88634946121005
Oklahoma City,Fort Cobb,Oklahoma,58.130903079530114
Oklahoma City,Earlsboro,Oklahoma,41.32378106399561
Oklahoma City,Binger,Oklahoma,48.07175193901025
Oklahoma City,Eakly,Oklahoma,59.90084322018153
Oklahoma City,Bridge Creek,Oklahoma,20.05635015751075
Oklahoma City,Calumet,Oklahoma,35.65641831997622
Oklahoma City,Amber,Oklahoma,29.70580193330881
Oklahoma City,Depew,Oklahoma,59.824444761866694
Oklahoma City,Covington,Oklahoma,58.05152562960391
Oklahoma City,Paden,Oklahoma,53.42407641856107
Oklahoma City,Bowlegs,Oklahoma,52.57367778587839
Oklahoma City,Cedar Lake,Oklahoma,38.426140648670405
Oklahoma City,Tribbey,Oklahoma,34.61411414099818
Oklahoma City,Marshall,Oklahoma,47.463787399716026
Oklahoma City,Gracemont,Oklahoma,46.3221321675744
Oklahoma City,Ripley,Oklahoma,51.017991596816216
Oklahoma City,Dover,Oklahoma,41.88571290928134
Oklahoma City,Mulhall,Oklahoma,43.846776249889736
Oklahoma City,Crescent Springs,Oklahoma,30.012730243145455
Oklahoma City,Dale,Oklahoma,27.14840626795658
Oklahoma City,Foster,Oklahoma,59.50566911896115
Oklahoma City,Wanette,Oklahoma,44.218412610490255
Oklahoma City,Byars,Oklahoma,48.5779568488432
Oklahoma City,Warwick,Oklahoma,32.58845309256384
Oklahoma City,Pocasset,Oklahoma,32.13161546267612
Oklahoma City,Cimarron City,Oklahoma,29.457545143310163
Oklahoma City,Norge,Oklahoma,42.75778272208373
Oklahoma City,Woodlawn Park,Oklahoma,8.21258826421876
Oklahoma City,Bradley,Oklahoma,42.12042219538228
Oklahoma City,Middleberg,Oklahoma,27.82722410405611
Oklahoma City,Ingalls,Oklahoma,56.86158461204217
Oklahoma City,Bridgeport,Oklahoma,49.01033199485168
Oklahoma City,Sparks,Oklahoma,40.36880657933107
Oklahoma City,Greenfield,Oklahoma,51.87505788264555
Oklahoma City,Lucien,Oklahoma,55.74245416141464
Oklahoma City,Loyal,Oklahoma,48.66316853396373
Oklahoma City,Orlando,Oklahoma,46.794224164492725
Oklahoma City,Arcadia,Oklahoma,17.274703538292464
Oklahoma City,Etowah,Oklahoma,30.578541417333078
Oklahoma City,Milfay,Oklahoma,57.19314243947356
Oklahoma City,Lookeba,Oklahoma,48.520363712159444
Oklahoma City,Kendrick,Oklahoma,46.96611020522034
Oklahoma City,St. Louis,Oklahoma,45.56018250842961
Oklahoma City,Erin Springs,Oklahoma,45.549066551582236
Oklahoma City,Washita,Oklahoma,53.07293101342134
Oklahoma City,Bison,Oklahoma,54.65800451034749
Oklahoma City,Lima,Oklahoma,55.542983633386164
Oklahoma City,Mehan,Oklahoma,51.25632899179667
