City 1,City 2,State,Distance
Portland,Salem,Oregon,46.15653963349173
Portland,Gresham,Oregon,10.416356038909159
Portland,Hillsboro,Oregon,13.898200137641222
Portland,Beaverton,Oregon,9.072933827943276
Portland,Tigard,Oregon,10.19938762329343
Portland,Aloha,Oregon,11.242991272072722
Portland,Lake Oswego,Oregon,8.919943459760546
Portland,Keizer,Oregon,41.16470533730515
Portland,Oregon City,Oregon,13.774952910210136
Portland,McMinnville,Oregon,34.678259228150395
Portland,Bethany,Oregon,9.227646312629757
Portland,Tualatin,Oregon,12.598822993990145
Portland,West Linn,Oregon,11.757287292779202
Portland,Woodburn,Oregon,28.807827851577883
Portland,Forest Grove,Oregon,22.330744802830385
Portland,Wilsonville,Oregon,16.67903316089843
Portland,Newberg,Oregon,21.882421271878155
Portland,Happy Valley,Oregon,9.821149519959661
Portland,Hayesville,Oregon,41.631675550221786
Portland,Milwaukie,Oregon,6.53899650509831
Portland,Sherwood,Oregon,15.438290127027296
Portland,Cedar Mill,Oregon,7.310047314484055
Portland,Canby,Oregon,18.86182531934749
Portland,Oak Grove,Oregon,8.422785700185024
Portland,Dallas,Oregon,53.38852425313247
Portland,Four Corners,Oregon,44.856953958145105
Portland,Troutdale,Oregon,12.351701525960154
Portland,St. Helens,Oregon,23.527983108061047
Portland,Cornelius,Oregon,19.505959086126722
Portland,Oatfield,Oregon,9.024779815658588
Portland,Sandy,Oregon,20.801994846877015
Portland,Gladstone,Oregon,10.76465766065914
Portland,Oak Hills,Oregon,9.28710023484494
Portland,Monmouth,Oregon,55.187564044035575
Portland,Damascus,Oregon,12.74017278068184
Portland,Fairview,Oregon,10.261968479049443
Portland,Silverton,Oregon,37.43093284966123
Portland,Molalla,Oregon,26.90837156234079
Portland,Independence,Oregon,54.12269000756396
Portland,Rockcreek,Oregon,11.01912375130668
Portland,Bull Mountain,Oregon,12.338499634139989
Portland,Cedar Hills,Oregon,7.864406384854162
Portland,West Haven-Sylvan,Oregon,5.786000600735477
Portland,Hood River,Oregon,55.74929550361349
Portland,Stayton,Oregon,51.18241395734935
Portland,Scappoose,Oregon,18.70391475757252
Portland,Jennings Lodge,Oregon,10.114600616943934
Portland,Garden Home-Whitford,Oregon,7.298279581726569
Portland,Raleigh Hills,Oregon,6.30379347667297
Portland,West Slope,Oregon,6.6060602509414075
Portland,Sheridan,Oregon,47.50929369716664
Portland,Marlene Village,Oregon,8.359835783332775
Portland,Tillamook,Oregon,57.73129599531136
Portland,King City,Oregon,12.091659067567463
Portland,Estacada,Oregon,22.537322387181455
Portland,Wood Village,Oregon,11.13887045766067
Portland,Beavercreek,Oregon,19.239320640615237
Portland,Lafayette,Oregon,30.12564147152239
Portland,Aumsville,Oregon,48.90544234147417
Portland,Metzger,Oregon,8.149334858888448
Portland,Hubbard,Oregon,25.69578337602344
Portland,Mount Angel,Oregon,33.078622702348255
Portland,North Plains,Oregon,17.235949792105586
Portland,Jefferson,Oregon,59.25086103041937
Portland,Dundee,Oregon,25.039325133886607
Portland,Odell,Oregon,53.664070123748644
Portland,Sublimity,Oregon,49.362758952822595
