City 1,City 2,State,Distance
Charleston,North Charleston,South Carolina,8.637944772281601
Charleston,Mount Pleasant,South Carolina,9.000121036074514
Charleston,Summerville,South Carolina,17.688867832405833
Charleston,Goose Creek,South Carolina,12.30890298247064
Charleston,Hanahan,South Carolina,8.060798547524211
Charleston,Ladson,South Carolina,15.535342237303341
Charleston,Port Royal,South Carolina,53.330416849948826
Charleston,Beaufort,South Carolina,50.42076980483669
Charleston,Moncks Corner,South Carolina,24.667609181925453
Charleston,James Island,South Carolina,5.869505166865083
Charleston,Sangaree,South Carolina,17.441101650070305
Charleston,Georgetown,South Carolina,54.05529426977028
Charleston,Burton,South Carolina,52.80398909553379
Charleston,Walterboro,South Carolina,41.5446516298036
Charleston,Laurel Bay,South Carolina,53.67111021161369
Charleston,Hollywood,South Carolina,14.838663049917281
Charleston,Isle of Palms,South Carolina,12.454010882177865
Charleston,Wyboo,South Carolina,53.251983262282735
Charleston,Andrews,South Carolina,49.454178738387554
Charleston,Kingstree,South Carolina,59.11211159325114
Charleston,Ravenel,South Carolina,15.332390147729429
Charleston,Sullivan's Island,South Carolina,8.439832326393432
Charleston,Pimlico,South Carolina,19.445874217238085
Charleston,Kiawah Island,South Carolina,14.870639730739493
Charleston,Seabrook Island,South Carolina,20.09797969180807
Charleston,Shell Point,South Carolina,54.93462712703809
Charleston,St. George,South Carolina,43.64899775678813
Charleston,Ridgeville,South Carolina,27.221312841775678
Charleston,Awendaw,South Carolina,20.758295701828686
Charleston,Bonneau Beach,South Carolina,34.89906786839939
Charleston,St. Stephen,South Carolina,40.58878300147555
Charleston,Holly Hill,South Carolina,43.45911606214176
Charleston,Meggett,South Carolina,19.553359099202645
Charleston,Branchville,South Carolina,57.5996298843958
Charleston,Santee,South Carolina,54.64443951108676
Charleston,Cottageville,South Carolina,30.866326957122652
Charleston,Seabrook,South Carolina,49.73175483572576
Charleston,Folly Beach,South Carolina,10.229251395940945
Charleston,Yemassee,South Carolina,52.35256361521042
Charleston,Dale,South Carolina,46.34388371095484
Charleston,Pinopolis,South Carolina,28.67389795878267
Charleston,Edisto Beach,South Carolina,30.480554510571952
Charleston,Harleyville,South Carolina,38.9770068585827
Charleston,McClellanville,South Carolina,34.521170079351926
Charleston,Fripp Island,South Carolina,45.20597920063384
Charleston,Summerton,South Carolina,58.4616748574515
Charleston,DeBordieu Colony,South Carolina,59.689917427870775
Charleston,Bowman,South Carolina,55.36325562884696
Charleston,Lincolnville,South Carolina,17.086618767558072
Charleston,Bonneau,South Carolina,33.86367780475229
Charleston,Lane,South Carolina,49.084079687825415
Charleston,North Santee,South Carolina,56.040933230374115
Charleston,Adams Run,South Carolina,22.946984287249727
Charleston,Sheldon,South Carolina,50.496738839275054
Charleston,Grover,South Carolina,41.43846654922688
Charleston,Greeleyville,South Carolina,52.61745724084994
Charleston,Eutawville,South Carolina,45.54550837764607
Charleston,Russellville,South Carolina,39.98496598705817
Charleston,Harbor Island,South Carolina,39.49810823585368
Charleston,Reevesville,South Carolina,47.43109832684482
