City 1,City 2,State,Distance
Salt Lake City,Ogden,Utah,31.13374899482502
Salt Lake City,Provo,Utah,39.65932241790965
Salt Lake City,West Valley City,Utah,7.475325780137632
Salt Lake City,West Jordan,Utah,12.631288935063845
Salt Lake City,Orem,Utah,35.26225273727703
Salt Lake City,Sandy,Utah,14.876464426062164
Salt Lake City,Layton,Utah,20.723242446104297
Salt Lake City,South Jordan,Utah,15.423315553428186
Salt Lake City,Lehi,Utah,25.30472004752933
Salt Lake City,Millcreek,Utah,8.112700764670402
Salt Lake City,Taylorsville,Utah,8.383213197211887
Salt Lake City,Herriman,Utah,20.35875850203251
Salt Lake City,Draper,Utah,19.802327840569294
Salt Lake City,Murray,Utah,9.112095198439782
Salt Lake City,Eagle Mountain,Utah,32.28706672137646
Salt Lake City,Bountiful,Utah,7.391569316225259
Salt Lake City,Riverton,Utah,18.021511514956995
Salt Lake City,Spanish Fork,Utah,48.5376789961436
Salt Lake City,Saratoga Springs,Utah,29.861020715155373
Salt Lake City,Roy,Utah,27.85932982294298
Salt Lake City,Pleasant Grove,Utah,29.742627271299035
Salt Lake City,Kearns,Utah,9.60078412133509
Salt Lake City,Tooele,Utah,25.74960616934927
Salt Lake City,Midvale,Utah,11.413124117267936
Salt Lake City,Springville,Utah,45.404285843322874
Salt Lake City,American Fork,Utah,28.463219832165194
Salt Lake City,Cottonwood Heights,Utah,12.863411866241737
Salt Lake City,Syracuse,Utah,22.47840245987194
Salt Lake City,Kaysville,Utah,17.364343560879718
Salt Lake City,Clearfield,Utah,22.97217126772989
Salt Lake City,Holladay,Utah,9.914436681554948
Salt Lake City,Magna,Utah,12.04279425685914
Salt Lake City,South Salt Lake,Utah,5.246307755149375
Salt Lake City,Farmington,Utah,14.334998172274728
Salt Lake City,Clinton,Utah,25.945210375442347
Salt Lake City,North Salt Lake,Utah,4.620887928288038
Salt Lake City,Payson,Utah,52.19668985832628
Salt Lake City,North Ogden,Utah,36.92519085004559
Salt Lake City,Brigham City,Utah,50.44547693904719
Salt Lake City,Highland,Utah,25.17827627827586
Salt Lake City,West Haven,Utah,30.40852724806587
Salt Lake City,South Ogden,Utah,27.264777067107243
Salt Lake City,Bluffdale,Utah,20.924403959278774
Salt Lake City,Heber,Utah,33.64507647751124
Salt Lake City,Centerville,Utah,10.684825380964368
Salt Lake City,Santaquin,Utah,56.13520912725741
Salt Lake City,Grantsville,Utah,30.8262385806863
Salt Lake City,Vineyard,Utah,33.84892564592308
Salt Lake City,Mapleton,Utah,49.195780252075885
Salt Lake City,Lindon,Utah,32.10649991961414
Salt Lake City,Woods Cross,Utah,6.631159884675412
Salt Lake City,West Point,Utah,25.345927900883645
Salt Lake City,Pleasant View,Utah,37.943764678937974
Salt Lake City,Stansbury Park,Utah,21.961544126829594
Salt Lake City,Alpine,Utah,23.26264302960572
Salt Lake City,Cedar Hills,Utah,26.810970181701926
Salt Lake City,Hyrum,Utah,59.167459632232756
Salt Lake City,Salem,Utah,51.77293693268249
Salt Lake City,Riverdale,Utah,27.551327403503954
Salt Lake City,Washington Terrace,Utah,27.07317862169623
Salt Lake City,Hooper,Utah,32.290083081101514
Salt Lake City,Summit Park,Utah,18.207533576967474
Salt Lake City,Park City,Utah,24.21824952795713
Salt Lake City,South Weber,Utah,24.555784985364586
Salt Lake City,Plain City,Utah,37.44357419565028
Salt Lake City,Farr West,Utah,36.53317202734563
Salt Lake City,Harrisville,Utah,35.14433613128115
Salt Lake City,Midway,Utah,29.928867517366253
Salt Lake City,Fruit Heights,Utah,17.299629627686592
Salt Lake City,West Bountiful,Utah,8.421603472427824
Salt Lake City,Snyderville,Utah,20.970332567761837
Salt Lake City,Perry,Utah,47.761607610227024
Salt Lake City,White City,Utah,14.985037229406723
Salt Lake City,Sunset,Utah,25.467174796063535
Salt Lake City,Elk Ridge,Utah,54.633441248963095
Salt Lake City,Morgan,Utah,22.447393772003398
Salt Lake City,Wellsville,Utah,58.29444466712349
Salt Lake City,East Basin,Utah,24.323127953163198
Salt Lake City,Mountain Green,Utah,26.57588947881354
Salt Lake City,Erda,Utah,23.784892658983296
Salt Lake City,Kamas,Utah,35.69470201572338
Salt Lake City,Marriott-Slaterville,Utah,33.90540792602748
Salt Lake City,Coalville,Utah,28.689532418005324
Salt Lake City,Willard,Utah,44.36995076169561
Salt Lake City,Oakley,Utah,34.416140239011845
Salt Lake City,Silver Summit,Utah,21.972889121580245
Salt Lake City,Genola,Utah,53.02714793720678
Salt Lake City,Wolf Creek,Utah,38.170689275614485
Salt Lake City,Uintah,Utah,25.200994095818572
Salt Lake City,Honeyville,Utah,59.788857760111576
Salt Lake City,Francis,Utah,36.44751962686405
Salt Lake City,South Willard,Utah,40.47954971826726
Salt Lake City,Emigration Canyon,Utah,9.978708144637979
Salt Lake City,Mantua,Utah,49.892626780702315
Salt Lake City,Woodland Hills,Utah,54.70534455708784
Salt Lake City,West Mountain,Utah,50.72306684147075
Salt Lake City,Lake Shore,Utah,45.88983156857583
Salt Lake City,Liberty,Utah,39.14164998838991
Salt Lake City,Hideout,Utah,29.307467743045947
Salt Lake City,Copperton,Utah,17.011473679902327
Salt Lake City,Daniel,Utah,34.80930326900682
Salt Lake City,Stockton,Utah,32.21916574708049
Salt Lake City,Eden,Utah,36.762980188743356
Salt Lake City,Goshen,Utah,57.04932981729994
Salt Lake City,Rocky Ridge,Utah,59.45371777504557
Salt Lake City,Benjamin,Utah,48.16769301140748
Salt Lake City,Paradise,Utah,54.801732006487754
Salt Lake City,Eureka,Utah,57.322304928980735
Salt Lake City,Bear River City,Utah,58.487753456375756
Salt Lake City,Corinne,Utah,54.2095774330479
Salt Lake City,Hoytsville,Utah,29.42910428240462
Salt Lake City,Timber Lakes,Utah,41.36048732381762
Salt Lake City,Henefer,Utah,28.131989150173613
Salt Lake City,Granite,Utah,15.956860791753602
Salt Lake City,Marion,Utah,34.960812175031634
Salt Lake City,Palmyra,Utah,46.11430117418266
Salt Lake City,Avon,Utah,52.65849166622153
Salt Lake City,Spring Lake,Utah,54.08684271271219
Salt Lake City,Huntsville,Utah,34.299490044678166
Salt Lake City,Woodland,Utah,38.895477895970366
Salt Lake City,Charleston,Utah,32.794516568243324
Salt Lake City,Rush Valley,Utah,39.65236885349624
Salt Lake City,Dugway,Utah,57.47060525885664
Salt Lake City,Alta,Utah,21.08687942134795
Salt Lake City,Wanship,Utah,27.19272935372166
Salt Lake City,Elberta,Utah,56.71209322061651
Salt Lake City,Brighton,Utah,20.501181569148663
Salt Lake City,Wallsburg,Utah,38.09737294870528
Salt Lake City,Vernon,Utah,54.320488351728784
Salt Lake City,Hobble Creek,Utah,45.7436254015842
Salt Lake City,Cedar Fort,Utah,31.514162902268723
Salt Lake City,Samak,Utah,37.46369556226259
Salt Lake City,Independence,Utah,41.91862885861969
Salt Lake City,Peoa,Utah,31.016663718472888
Salt Lake City,Interlaken,Utah,28.991602821474128
Salt Lake City,Echo,Utah,29.310495792090375
Salt Lake City,Fairfield,Utah,37.542497024688934
Salt Lake City,Sundance,Utah,31.95633661833128
Salt Lake City,Ophir,Utah,32.67339802573903
Ogden,West Valley City,Utah,37.28593888675874
Ogden,Logan,Utah,35.933811502675155
Ogden,West Jordan,Utah,43.19614798053018
Ogden,Sandy,Utah,45.75216213831637
Ogden,Layton,Utah,10.418256527054396
Ogden,South Jordan,Utah,46.29813882092323
Ogden,Lehi,Utah,56.41307821676436
Ogden,Millcreek,Utah,37.877577589032384
Ogden,Taylorsville,Utah,39.41426795541212
Ogden,Herriman,Utah,50.989091248300916
Ogden,Draper,Utah,50.83880818863631
Ogden,Murray,Utah,40.11520106448947
Ogden,Bountiful,Utah,25.140716099664434
Ogden,Riverton,Utah,49.01425602512024
Ogden,Roy,Utah,5.720035874849771
Ogden,Kearns,Utah,39.805573197690364
Ogden,Tooele,Utah,50.74299052757066
Ogden,Midvale,Utah,42.490971107281936
Ogden,American Fork,Utah,59.32203775340564
Ogden,Cottonwood Heights,Utah,43.14044094899116
Ogden,Syracuse,Utah,11.140050274638359
Ogden,Kaysville,Utah,13.776102538171441
Ogden,Clearfield,Utah,9.09367629603292
Ogden,Holladay,Utah,39.921580968547204
Ogden,Magna,Utah,33.5835217606374
Ogden,South Salt Lake,Utah,36.21798903083302
Ogden,Farmington,Utah,17.102245935442447
Ogden,Clinton,Utah,7.937125956934307
Ogden,North Salt Lake,Utah,26.624279047945787
Ogden,North Ogden,Utah,5.846661833307375
Ogden,Brigham City,Utah,19.43697960283189
Ogden,Highland,Utah,55.958850290070984
Ogden,West Haven,Utah,4.67584379908507
Ogden,South Ogden,Utah,3.8832536495827017
Ogden,Bluffdale,Utah,52.01836177399949
Ogden,Heber,Utah,58.00710328801311
Ogden,Centerville,Utah,21.121324175468587
Ogden,Smithfield,Utah,42.529919114846386
Ogden,Grantsville,Utah,50.010182394408844
Ogden,Woods Cross,Utah,24.629096293555637
Ogden,West Point,Utah,10.013713613696671
Ogden,North Logan,Utah,38.73656887674587
Ogden,Pleasant View,Utah,6.909527874003701
Ogden,Stansbury Park,Utah,44.51835482974054
Ogden,Tremonton,Utah,35.75703568604499
Ogden,Alpine,Utah,53.77575815031551
Ogden,Cedar Hills,Utah,57.31648278661729
Ogden,Hyrum,Utah,28.6514064328438
Ogden,Riverdale,Utah,4.172229980585875
Ogden,Washington Terrace,Utah,4.146435701108325
Ogden,Hooper,Utah,17.27250982935874
Ogden,Summit Park,Utah,38.98422963577973
Ogden,Providence,Utah,33.80472119283932
Ogden,Park City,Utah,46.75508785949244
Ogden,South Weber,Utah,6.693046387617817
Ogden,Plain City,Utah,8.28163385434499
Ogden,Farr West,Utah,6.063299075549827
Ogden,Nibley,Utah,31.33719977786622
Ogden,Harrisville,Utah,4.06021371065355
Ogden,Midway,Utah,55.371734578138835
Ogden,Fruit Heights,Utah,14.16552993155832
Ogden,West Bountiful,Utah,22.952560964155246
Ogden,Snyderville,Utah,42.428263920255205
Ogden,Perry,Utah,16.770580918153
Ogden,White City,Utah,45.96013787352751
Ogden,Sunset,Utah,6.881084801514635
Ogden,Hyde Park,Utah,40.357488894398244
Ogden,Morgan,Utah,19.78395429480756
Ogden,Wellsville,Utah,27.24931914943848
Ogden,East Basin,Utah,42.769088488302195
Ogden,Mountain Green,Utah,10.812371911779373
Ogden,Erda,Utah,46.93006032343574
Ogden,Richmond,Utah,48.6940469544587
Ogden,Garland,Utah,36.50188892211606
Ogden,Kamas,Utah,54.00728166685154
Ogden,River Heights,Utah,34.970059961209465
Ogden,Lewiston,Utah,50.861559978333936
Ogden,Marriott-Slaterville,Utah,4.28490552391825
Ogden,Coalville,Utah,36.275143356048325
Ogden,Millville,Utah,32.45628093121648
Ogden,Benson,Utah,36.07255950876477
Ogden,Willard,Utah,13.499490600332047
Ogden,Oakley,Utah,50.0078574225292
Ogden,Silver Summit,Utah,40.7009219858572
Ogden,Wolf Creek,Utah,9.891647299887426
Ogden,Uintah,Utah,6.146420522880793
Ogden,Honeyville,Utah,28.823654135640247
Ogden,Elwood,Utah,32.1436871136958
Ogden,Francis,Utah,56.04738688188919
Ogden,South Willard,Utah,9.759932553537297
Ogden,Emigration Canyon,Utah,32.550003196240596
Ogden,Mendon,Utah,33.28774530707591
Ogden,Mantua,Utah,18.90091446577557
Ogden,Riverside,Utah,41.19201624591637
Ogden,Liberty,Utah,9.569000691927123
Ogden,Hideout,Utah,50.04831441299906
Ogden,Thatcher,Utah,36.244927321210845
Ogden,Copperton,Utah,46.16096507848923
Ogden,Randolph,Utah,50.6703161931417
Ogden,Stockton,Utah,57.632511362976594
Ogden,Newton,Utah,43.721300323063694
Ogden,Eden,Utah,9.769159523760607
Ogden,Paradise,Utah,24.51325800371436
Ogden,Bear River City,Utah,27.756595614925434
Ogden,Corinne,Utah,23.614545857598934
Ogden,Hoytsville,Utah,38.98415608322776
Ogden,Henefer,Utah,28.864315858293622
Ogden,Granite,Utah,46.328289440851
Ogden,Clarkston,Utah,47.98710987373393
Ogden,Fielding,Utah,41.092389093699445
Ogden,Marion,Utah,52.25528256577404
Ogden,Trenton,Utah,47.21412077114675
Ogden,Avon,Utah,22.711414996310893
Ogden,Garden City,Utah,56.795793859429
Ogden,Amalga,Utah,43.52923588478193
Ogden,Huntsville,Utah,10.357753475068664
Ogden,Cove,Utah,52.02473467847131
Ogden,Woodland,Utah,58.699349568457436
Ogden,Charleston,Utah,58.92711930136933
Ogden,Alta,Utah,48.10945114575202
Ogden,Plymouth,Utah,45.48474002369832
Ogden,Laketown,Utah,53.17564831629454
Ogden,Wanship,Utah,40.50542699902606
Ogden,Howell,Utah,45.0400259544974
Ogden,Brighton,Utah,46.177021899954475
Ogden,Deweyville,Utah,32.69706258030291
Ogden,Peter,Utah,37.532902172432564
Ogden,Woodruff,Utah,46.45073346306444
Ogden,Cornish,Utah,51.335384089152136
Ogden,Portage,Utah,53.49403853993481
Ogden,Garden,Utah,53.26591259432547
Ogden,Samak,Utah,55.667893226348355
Ogden,Cache,Utah,41.65872636936052
Ogden,Peoa,Utah,47.438703071642465
Ogden,Interlaken,Utah,53.96378248608391
Ogden,Echo,Utah,32.46645478277072
Provo,West Valley City,Utah,36.15412381566574
Provo,West Jordan,Utah,30.925157221338345
Provo,Orem,Utah,4.596300931413606
Provo,Sandy,Utah,24.90530930044124
Provo,Layton,Utah,59.72024908770821
Provo,South Jordan,Utah,27.737103750475924
Provo,Lehi,Utah,16.662386387987414
Provo,Millcreek,Utah,32.092694597930326
Provo,Taylorsville,Utah,32.57426503811287
Provo,Herriman,Utah,25.84343618858221
Provo,Draper,Utah,20.64082781250285
Provo,Murray,Utah,30.655503030936334
Provo,Eagle Mountain,Utah,19.886480036266605
Provo,Bountiful,Utah,44.73201410065857
Provo,Riverton,Utah,25.165909806969584
Provo,Spanish Fork,Utah,9.359883567118079
Provo,Saratoga Springs,Utah,15.810424271016535
Provo,Pleasant Grove,Utah,10.04522880614227
Provo,Kearns,Utah,33.95994898192113
Provo,Tooele,Utah,40.39730539568698
Provo,Midvale,Utah,28.604238393147927
Provo,Springville,Utah,5.80591521122561
Provo,American Fork,Utah,12.088938999450138
Provo,Cottonwood Heights,Utah,26.90453248242647
Provo,Kaysville,Utah,56.300654646645846
Provo,Holladay,Utah,30.068575289398186
Provo,Magna,Utah,44.826687967062355
Provo,South Salt Lake,Utah,34.423528306588835
Provo,Farmington,Utah,52.79020503231071
Provo,North Salt Lake,Utah,43.7057534665398
Provo,Payson,Utah,15.321231266092123
Provo,Highland,Utah,14.840671748550369
Provo,Bluffdale,Utah,22.072378326640532
Provo,Heber,Utah,22.250223526645723
Provo,Centerville,Utah,48.75697325600829
Provo,Santaquin,Utah,20.53156287790406
Provo,Grantsville,Utah,50.7249139225206
Provo,Vineyard,Utah,7.093127237898365
Provo,Mapleton,Utah,9.53819262986782
Provo,Lindon,Utah,7.646910666621093
Provo,Woods Cross,Utah,45.58437392518301
Provo,Stansbury Park,Utah,43.969058695216475
Provo,Alpine,Utah,16.41096915674461
Provo,Cedar Hills,Utah,12.892209113273244
Provo,Salem,Utah,13.305292934436855
Provo,Summit Park,Utah,34.40350481928427
Provo,Park City,Utah,28.92945102429054
Provo,Nephi,Utah,38.47462860319191
Provo,Midway,Utah,20.86336802489539
Provo,Fruit Heights,Utah,55.69527880235163
Provo,West Bountiful,Utah,47.10686627731819
Provo,Snyderville,Utah,32.08535389626118
Provo,White City,Utah,24.946869079167122
Provo,Elk Ridge,Utah,16.356022355225896
Provo,Morgan,Utah,54.93436707995302
Provo,Mount Pleasant,Utah,49.680175384400364
Provo,East Basin,Utah,35.05603093277762
Provo,Erda,Utah,43.320047666225314
Provo,Helper,Utah,56.678154207858725
Provo,Kamas,Utah,34.1355682974726
Provo,Coalville,Utah,47.57715090054796
