City 1,City 2,State,Distance
Milwaukee,Racine,Wisconsin,24.527446914582832
Milwaukee,Kenosha,Wisconsin,33.29150919428829
Milwaukee,Sheboygan,Wisconsin,48.161028801658986
Milwaukee,Janesville,Wisconsin,59.193090264742295
Milwaukee,Waukesha,Wisconsin,14.633152759239639
Milwaukee,West Allis,Wisconsin,5.058532755538184
Milwaukee,Wauwatosa,Wisconsin,3.4060931495403497
Milwaukee,Fond du Lac,Wisconsin,54.321719773103155
Milwaukee,Brookfield,Wisconsin,7.875628327285726
Milwaukee,New Berlin,Wisconsin,10.34323864259888
Milwaukee,Menomonee Falls,Wisconsin,9.779940974072955
Milwaukee,Greenfield,Wisconsin,7.3154424082890195
Milwaukee,Franklin,Wisconsin,12.53256785688402
Milwaukee,Oak Creek,Wisconsin,13.135750871606275
Milwaukee,West Bend,Wisconsin,26.66714457210277
Milwaukee,Mount Pleasant,Wisconsin,24.586500438747006
Milwaukee,Caledonia,Wisconsin,18.9099401309242
Milwaukee,Mequon,Wisconsin,11.83347837196889
Milwaukee,Muskego,Wisconsin,14.778715899093308
Milwaukee,Watertown,Wisconsin,39.43541581857791
Milwaukee,Pleasant Prairie,Wisconsin,37.32033491329544
Milwaukee,Germantown,Wisconsin,14.093494381050274
Milwaukee,South Milwaukee,Wisconsin,11.772375068680944
Milwaukee,Oconomowoc,Wisconsin,26.792934544395653
Milwaukee,Cudahy,Wisconsin,9.655601481352289
Milwaukee,Beaver Dam,Wisconsin,51.742184019639865
Milwaukee,Whitewater,Wisconsin,41.91172592891134
Milwaukee,Hartford,Wisconsin,27.352678290305633
Milwaukee,Whitefish Bay,Wisconsin,4.791066741001745
Milwaukee,Greendale,Wisconsin,8.944151504889142
Milwaukee,Salem Lakes,Wisconsin,37.350561821582886
Milwaukee,Shorewood,Wisconsin,4.510193886599039
Milwaukee,Glendale,Wisconsin,4.886565004865154
Milwaukee,Brown Deer,Wisconsin,7.609799943460202
Milwaukee,Fort Atkinson,Wisconsin,45.446452235945216
Milwaukee,Port Washington,Wisconsin,22.502064476823307
Milwaukee,Cedarburg,Wisconsin,16.244062637696388
Milwaukee,Grafton,Wisconsin,17.713441506263617
Milwaukee,Richfield,Wisconsin,18.279290722108346
Milwaukee,Sussex,Wisconsin,13.789110059104017
Milwaukee,Waupun,Wisconsin,55.139697705930814
Milwaukee,Burlington,Wisconsin,31.03527843101744
Milwaukee,Elkhorn,Wisconsin,39.670910259276795
Milwaukee,Hartland,Wisconsin,19.016273427250436
Milwaukee,St. Francis,Wisconsin,7.985743153347061
Milwaukee,Plymouth,Wisconsin,46.97819129826592
Milwaukee,Delavan,Wisconsin,45.232685990733444
Milwaukee,Village of Waukesha,Wisconsin,15.923070127806357
Milwaukee,Lake Geneva,Wisconsin,40.666963586600154
Milwaukee,Mukwonago,Wisconsin,23.164432748011034
Milwaukee,Somers,Wisconsin,29.457067828924863
Milwaukee,Sheboygan Falls,Wisconsin,46.43906850193404
Milwaukee,Jackson,Wisconsin,20.519299130927788
Milwaukee,Jefferson,Wisconsin,42.78178471364769
Milwaukee,Hales Corners,Wisconsin,9.462335987712947
Milwaukee,Vernon,Wisconsin,18.944887851838928
Milwaukee,Delafield,Wisconsin,21.455767960952592
Milwaukee,Sturtevant,Wisconsin,25.393954756977514
Milwaukee,Fox Point,Wisconsin,7.295652913419621
Milwaukee,Elm Grove,Wisconsin,6.136785623858851
Milwaukee,Twin Lakes,Wisconsin,40.25194609437675
Milwaukee,Lake Mills,Wisconsin,47.4798287778077
Milwaukee,Slinger,Wisconsin,24.285113254307454
Milwaukee,Edgerton,Wisconsin,58.02961937783867
Milwaukee,Milton,Wisconsin,53.35976334852488
Milwaukee,Waterford,Wisconsin,24.22720710126092
Milwaukee,Columbus,Wisconsin,56.830821761007364
Milwaukee,North Fond du Lac,Wisconsin,57.759456795014124
Milwaukee,Mayville,Wisconsin,41.88888507190635
Milwaukee,Bristol,Wisconsin,36.423384172210795
Milwaukee,Wind Lake,Wisconsin,19.15268185933884
Milwaukee,Tichigan,Wisconsin,21.648073796649722
Milwaukee,Union Grove,Wisconsin,26.409892501706096
Milwaukee,Okauchee Lake,Wisconsin,24.20150285846342
Milwaukee,East Troy,Wisconsin,29.11862750884991
Milwaukee,Bayside,Wisconsin,8.830981765293176
Milwaukee,Kewaskum,Wisconsin,34.001867763277424
Milwaukee,Saukville,Wisconsin,22.15698373855635
Milwaukee,West Milwaukee,Wisconsin,3.580158191114043
Milwaukee,Raymond,Wisconsin,18.35481477160548
Milwaukee,Kiel,Wisconsin,58.927904984189055
Milwaukee,Marshall,Wisconsin,55.816712436687816
Milwaukee,Horicon,Wisconsin,42.95255567149057
Milwaukee,Rochester,Wisconsin,26.909267383349007
Milwaukee,Waterloo,Wisconsin,52.349477767546
Milwaukee,Merton,Wisconsin,18.042729617860342
Milwaukee,Johnson Creek,Wisconsin,40.63937725191279
Milwaukee,Thiensville,Wisconsin,11.879557053154874
Milwaukee,Yorkville,Wisconsin,24.16535176019844
Milwaukee,Howards Grove,Wisconsin,53.09634893741592
Milwaukee,Oostburg,Wisconsin,39.65999481455869
Milwaukee,Genoa City,Wisconsin,42.446673896614726
